#Time 	B	C	D	E	F	G
0	0.007684829131	0.004296509416	0.01261427459	0.006396609917	0.008900566346	0.005783305184
600	0.0188521265	0.01481629265	0.01294463331	0.01041549045	0.01123814313	0.01002547269
1200	0.01499488493	0.007171408756	0.02243128489	0.0113799159	0.01167115669	0.0128860074
1800	0.01748246602	0.0132431146	0.02781478304	0.01458868367	0.01018642645	0.01445014638
2400	0.01849550014	0.01708711336	0.03317273924	0.01782983002	0.01166544731	0.01768662574
3000	0.01747569394	0.01824775624	0.03458584398	0.01704001744	0.01192962058	0.01857082254
3600	0.01894067827	0.02030188959	0.03751861027	0.01934706444	0.01387355125	0.02406967887
4200	0.01936981954	0.01744448208	0.04104765344	0.01848250299	0.01273509215	0.03105988935
4800	0.01522847776	0.0159468927	0.0409805132	0.01734723806	0.01244964032	0.04385167495
5400	0.01652237233	0.01789066044	0.03844478802	0.01779256935	0.0105965546	0.05917026225
6000	0.01888078006	0.01531065417	0.04240969708	0.01124793715	0.01331701401	0.06182996587
6600	0.01487773638	0.01590207705	0.04437044658	0.01124793715	0.01530783013	0.06459434434
7200	0.01644902046	0.2663155752	0.04466308064	0.01160115394	0.01564488338	0.06699504916
