#Time 	B	C	D	E	F	G
0	0.3819500059	0.3872999996	0.3699999973	0.3817500025	0.3750999942	0.3838
600	0.4211750031	0.4175750017	0.4028500021	0.4165749997	0.4048749954	0.4234500006
1200	0.4486000016	0.4429749995	0.4263250008	0.4484499991	0.4366249964	0.4550750032
1800	0.4692499936	0.4626999944	0.444175005	0.4692749903	0.4619499967	0.4867000133
2400	0.4855500013	0.4722750038	0.4722750038	0.4849499986	0.4795750007	0.5061499923
3000	0.4996000007	0.4846000075	0.4846000075	0.4934250116	0.4939749986	0.5205749869
3600	0.5139750019	0.4974999949	0.4732000008	0.5026249886	0.5022749901	0.5283250064
4200	0.5219499841	0.4668250009	0.4801499918	0.5128750056	0.5130250081	0.5363750011
4800	0.5372000039	0.5229499936	0.4922249988	0.5248249918	0.5226999968	0.5403250009
5400	0.5514749885	0.5443750024	0.5130749941	0.5444000065	0.5397000015	0.5435000136
6000	0.564350009	0.5497750044	0.5198249891	0.5469249934	0.5439249873	0.5360500067
6600	0.580099985	0.5608249903	0.5340499952	0.554975003	0.5499500036	0.5383250043
7200	0.5888499916	0.5775000006	0.545750007	0.5610000044	0.5546249896	0.5414500013
