#Time 	B	C	D	E	F	G
0	0.04656403352	0.001393727237	0.008293165802	0.009053311679	0.008084763845	0.008414267263
600	0.08205512345	0.006654577228	0.0132640761	0.01076858269	0.008106945855	0.004452988167
1200	0.04257365529	0.01220256212	0.009402966112	0.01057870986	0.009972425032	0.01408556746
1800	0.05377343772	0.01117332248	0.009964720058	0.01461059825	0.009972425032	0.01899918774
2400	0.05717883807	0.01208221484	0.01160588971	0.01313732675	0.01569893299	0.02189102273
3000	0.06353333243	0.01196285725	0.01267501801	0.01379670235	0.02168876436	0.02753615186
3600	0.06590834759	0.008825105133	0.01304019249	0.01536261025	0.02941511544	0.03979351962
4200	0.06590834759	0.01007484417	0.01256432245	0.01516541664	0.02964913147	0.04038344048
4800	0.08725108423	0.00645465065	0.01174404684	0.01349937065	0.02980659642	0.04919135202
5400	0.07808197755	0.008619553207	0.01454037083	0.01405761626	0.02781468236	0.05391428508
6000	0.05454614762	0.005461607734	0.01697672362	0.01253324744	0.02723764215	0.06052814218
6600	0.04838357577	0.1849060196	0.02052850891	0.01233369209	0.02727086247	0.06274281218
7200	0.03712909754	0.005979409484	0.02117144933	0.0129138111	0.02826268608	0.06849204395
