#Time 	B	C	D	E	F	G
0	0.6793750226	0.4262249991	0.4062500075	0.4132249951	0.4232499972	0.4140999988
600	0.6433749944	0.4243500009	0.4493249953	0.4514249936	0.4584250003	0.4421750009
1200	0.6813249886	0.4233749956	0.4638749957	0.4710750058	0.4729750007	0.4558500051
1800	0.6552249938	0.4246499911	0.4796750024	0.4859249964	0.4887500033	0.4687749967
2400	0.6317999959	0.4326000065	0.4956500083	0.5034250021	0.5026500002	0.4836499989
3000	0.5973499864	0.4311499968	0.5073249936	0.5189749897	0.5190250054	0.4987000078
3600	0.5578499958	0.4365249947	0.5231000036	0.5372499973	0.5370249972	0.5129500106
4200	0.4668250009	0.4416749924	0.5379750133	0.5511250049	0.550850004	0.5263249874
4800	0.4418749958	0.4460749999	0.549575001	0.5654999912	0.5659999847	0.5381750017
5400	0.3848749995	0.4573500007	0.5667250007	0.5825499892	0.5842500031	0.5543500036
6000	0.3637250066	0.454125002	0.5733249933	0.5926750004	0.5918750018	0.5590250045
6600	0.349849999	0.4620500058	0.5809000134	0.602000013	0.6027999818	0.5660999939
7200	0.33715		0.4633000046	0.5878500044	0.6132999957	0.6159999967	0.577200003
