Application: Tecan i-control				"Tecan i-control , 1.10.4.0"							
Device: infinite 200Pro				Serial number: 1007002018				Serial number of connected stacker:			
Firmware: V_3.14_03/10_InfiniTe (Apr 26 2010/11.18.37)				"MAI, V_3.14_03/10_InfiniTe (Apr 26 2010/11.18.37)"							

Date:	2/10/2016										
Time:	8:42:39 PM										


System				RADMAN-MARJORIE							
User				RADMAN-MARJORIE\Marjorie							
Plate				Greiner 96 Flat Bottom Transparent Polystyrol  [GRE96ft.pdfx]							
Plate-ID (Stacker)											

Wait (Plate)				On	Target Temperature: 30 °C						

Wait (Plate Temperature)				Valid Range: 29.5 - 30.5 °C							

List of actions in this measurement script:											
Kinetic											
Absorbance											
Shaking (Orbital) Duration:				5	s						
Shaking (Orbital) Amplitude:				3	mm						


Label: malyn											
Kinetic Measurement											
Kinetic duration				14:00:00							
Interval Time				0:30:00							
Mode				Absorbance							
Wavelength				600	nm						
Bandwidth				9	nm						
Number of Flashes				25							
Settle Time				0	ms																								
Start Time:	2/10/2016 9:05:47 PM																												

Error:	"Command: ""CHECK MTP.STEPLOSS""  Returned answer: ""ERR044: X-Trans at module MTP lost steps abs(4)>3""  "																												

Cycle Nr.	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
Time [s]	0	1800	3600	5400	7200.1	9000.1	10800.1	12600.1	14400.1	16200.1	18000.1	19800.1	21600.1	23400.1	25200.1	27000.1	28800.1	30600.1	32400.1	34200.1	36000.2	37800.2	39600.2	41400.2	43200.2	45000.2	46800.2	48600.2	50400.2
Temp. [°C]	30.5	30.5	30.2	30.1	30.5	30.1	30.1	30.2	30	30.3	30.3	30.1	30.2	30	30	30.2	30	30.2	30.2	30.1	30.3	30.2	30.3	30.1	30	30	30.3	30.1	30.1
A1	0.061299998	0.062600002	0.061700001	0.060699999	0.061299998	0.059999999	0.0603	0.060199998	0.059700001	0.059799999	0.059799999	0.059700001	0.059700001	0.0594	0.059300002	0.0592	0.0594	0.059900001	0.0601	0.059599999	0.060600001	0.060400002	0.0614	0.059799999	0.060699999	0.059900001	0.0603	0.059700001	0.061299998
A2	0.059500001	0.061500002	0.062100001	0.0614	0.061000001	0.060400002	0.059500001	0.059900001	0.0594	0.059900001	0.0601	0.0594	0.059099998	0.059700001	0.059799999	0.0601	0.059300002	0.0592	0.059099998	0.059799999	0.0594	0.0594	0.059500001	0.059799999	0.0601	0.059700001	0.059300002	0.059799999	0.0614
A3	0.060899999	0.0625	0.062199999	0.060199998	0.061099999	0.061500002	0.059900001	0.0612	0.060199998	0.060400002	0.060699999	0.060600001	0.060899999	0.060800001	0.060699999	0.0605	0.060699999	0.060400002	0.060600001	0.060400002	0.060400002	0.0603	0.060199998	0.060199998	0.060199998	0.060199998	0.060199998	0.060199998	0.0605
A4	0.062399998	0.062600002	0.064499997	0.0656	0.0647	0.0634	0.063900001	0.062899999	0.0634	0.063500002	0.063199997	0.061799999	0.062199999	0.0623	0.062199999	0.061999999	0.062100001	0.0623	0.0623	0.062199999	0.0623	0.062199999	0.061799999	0.061500002	0.061700001	0.0616	0.060899999	0.061700001	0.0623
A5	0.060400002	0.060699999	0.0603	0.061099999	0.0623	0.062399998	0.063699998	0.0625	0.061700001	0.061099999	0.0605	0.060199998	0.059500001	0.0592	0.0594	0.059599999	0.059700001	0.059900001	0.059999999	0.059999999	0.060400002	0.059700001	0.059700001	0.059700001	0.059599999	0.059599999	0.059500001	0.059599999	0.059599999
A6	0.0625	0.0614	0.062399998	0.062700003	0.062899999	0.063199997	0.063100003	0.063100003	0.062899999	0.063199997	0.063299999	0.063600004	0.0634	0.062899999	0.062799998	0.062899999	0.062600002	0.0625	0.062799998	0.063000001	0.062899999	0.062399998	0.0625	0.0625	0.0623	0.061999999	0.061900001	0.061900001	0.061900001
A7	0.058800001	0.0581	0.0579	0.0579	0.0581	0.0583	0.057700001	0.0581	0.057799999	0.057999998	0.0581	0.057999998	0.058400001	0.058200002	0.0583	0.058499999	0.058400001	0.058200002	0.058600001	0.058699999	0.0583	0.058600001	0.058600001	0.058200002	0.058800001	0.058400001	0.0583	0.058800001	0.059099998
A8	0.062399998	0.058600001	0.060899999	0.062199999	0.061500002	0.061500002	0.063000001	0.063000001	0.0634	0.063600004	0.060699999	0.0616	0.0623	0.060800001	0.0603	0.059799999	0.060699999	0.060400002	0.0605	0.060899999	0.0614	0.0612	0.061099999	0.061099999	0.061000001	0.061799999	0.060600001	0.060899999	0.060699999
A9	0.061099999	0.062199999	0.060400002	0.060899999	0.062399998	0.063000001	0.061700001	0.0623	0.0616	0.061500002	0.061900001	0.061299998	0.061500002	0.0614	0.060800001	0.060400002	0.060400002	0.0605	0.060800001	0.060800001	0.060800001	0.0612	0.061000001	0.061299998	0.061099999	0.061099999	0.0612	0.061099999	0.061000001
A10	0.0625	0.065899998	0.061099999	0.062799998	0.066299997	0.062700003	0.066299997	0.064099997	0.063100003	0.063199997	0.062600002	0.0634	0.062700003	0.062600002	0.061799999	0.062700003	0.063299999	0.062100001	0.065300003	0.065499999	0.061099999	0.064999998	0.064599998	0.060600001	0.0616	0.062600002	0.065200001	0.065200001	0.065800004
A11	0.059	0.060699999	0.061099999	0.0601	0.061799999	0.060699999	0.060199998	0.060600001	0.058600001	0.059300002	0.059999999	0.059900001	0.059900001	0.0594	0.0605	0.0605	0.060699999	0.060699999	0.0603	0.059700001	0.060199998	0.060199998	0.059999999	0.060199998	0.060400002	0.0601	0.059900001	0.059900001	0.059999999
